number,value,params_alpha,user_attrs_mae_valid,user_attrs_rmse_valid,user_attrs_smape_valid,state,nivel,familia,params_l1_ratio,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_l2_regularization,params_learning_rate,params_max_iter,params_max_leaf_nodes,params_colsample_bytree,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample
14,0.3603968336887846,1.8735676388271143,2.060777486956702,2.9533311967566576,11.316012931188697,COMPLETE,banco_rango,elasticnet,0.7145649902525189,,,,,,,,,,,,,,
15,0.655447391139375,0.12294840185763721,1.8228585673367674,2.1676273485094093,9.795238926239156,COMPLETE,banco_rango,elasticnet,0.40575616608650744,,,,,,,,,,,,,,
16,0.7287683413087143,0.8995286976318013,1.3170419504892616,1.9232114697352678,7.642927940132638,COMPLETE,banco_rango,elasticnet,0.6539001789321557,,,,,,,,,,,,,,
17,-1.3233779173040787,8.976047333858538,4.288974887283437,5.6288124594759745,20.448758204852965,COMPLETE,banco_rango,elasticnet,0.6075805488202393,,,,,,,,,,,,,,
18,0.6722539354399883,0.07352836149311404,1.7687126868457526,2.1141003263027827,9.517591374038412,COMPLETE,banco_rango,elasticnet,0.7408633979307121,,,,,,,,,,,,,,
19,0.6093243924256695,0.031817052986528864,1.9836968920947233,2.3081551533604543,10.681332502400798,COMPLETE,banco_rango,elasticnet,0.3988347836575648,,,,,,,,,,,,,,
20,0.7768799962548196,0.35703865847630456,1.2855758267993398,1.7443197766571958,7.254491607444313,COMPLETE,banco_rango,elasticnet,0.8267542764185698,,,,,,,,,,,,,,
21,0.7737198639068041,0.42845417948363307,1.2843690520331015,1.7566290724210412,7.284657834317495,COMPLETE,banco_rango,elasticnet,0.7804273503479368,,,,,,,,,,,,,,
22,0.7751230194212259,0.3204888885341094,1.3011366877130595,1.7511742040044054,7.308071748856937,COMPLETE,banco_rango,elasticnet,0.8226298585221032,,,,,,,,,,,,,,
23,0.635341217737726,0.038459774919206484,1.8984624539270145,2.2299760007417633,10.206676149433997,COMPLETE,banco_rango,elasticnet,0.823030933469415,,,,,,,,,,,,,,
24,-0.040105256931577626,2.468220781828075,2.7418985901180823,3.7661316404487652,14.294084364826103,COMPLETE,banco_rango,elasticnet,0.8163093152069905,,,,,,,,,,,,,,
25,0.7555182242503575,0.20217267226081487,1.4119961345193512,1.8259130649156488,7.795932864866682,COMPLETE,banco_rango,elasticnet,0.7626410275729736,,,,,,,,,,,,,,
26,0.7812667590395677,0.25850422689314023,1.2841693045824745,1.7270871162428139,7.215875800831174,COMPLETE,banco_rango,elasticnet,0.9474940304688015,,,,,,,,,,,,,,
27,-0.8670569378307933,3.7191732309419736,3.8004798009457557,5.045865054621083,18.583126533278055,COMPLETE,banco_rango,elasticnet,0.9492464915200658,,,,,,,,,,,,,,
28,0.6660588500986907,0.053734230729726815,1.7939361277611028,2.133987246608958,9.648448946991854,COMPLETE,banco_rango,elasticnet,0.8702033433523166,,,,,,,,,,,,,,
29,0.6283132071670882,0.005762454276967318,1.9283847111293255,2.2513624341346494,10.394661747936716,COMPLETE,banco_rango,elasticnet,0.8910916603493448,,,,,,,,,,,,,,
30,0.6007160040668684,0.019149633810612732,2.002335744612652,2.3334462528165365,10.811070422323567,COMPLETE,banco_rango,elasticnet,0.8603501396805833,,,,,,,,,,,,,,
31,0.7660537382694865,0.24630808497292314,1.3560728381043377,1.7861375692276593,7.53651386930064,COMPLETE,banco_rango,elasticnet,0.789093067404053,,,,,,,,,,,,,,
32,0.681798699351174,0.8805031092094547,1.4131560209762657,2.0830890006386897,8.208948093517574,COMPLETE,banco_rango,elasticnet,0.9382409027018548,,,,,,,,,,,,,,
33,0.762051921507436,0.32425229945998846,1.3555481885304388,1.8013493679917572,7.5543429898155825,COMPLETE,banco_rango,elasticnet,0.6693943958857975,,,,,,,,,,,,,,
34,0.7149731538112879,0.9069816004319937,1.3466127314954388,1.9715134041926359,7.829605692022026,COMPLETE,banco_rango,elasticnet,0.7658483829020443,,,,,,,,,,,,,,
35,0.7773425434821946,0.48521847820117664,1.2417598141628339,1.7425107751015718,7.134483026028003,COMPLETE,banco_rango,elasticnet,0.8680950280397159,,,,,,,,,,,,,,
