banco,rango_orden,rango_monto,serie_banco_rango,nivel_usado,serie_usada,modelo_usado,mes_base,mes_predicho,tasa_base,prediccion_tasa_t3,total_creditos_base,modelo_recomendado,prediccion_original_tasa_t3,prediccion_recomendada_tasa_t3
Banco GNB Sudameris,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco GNB Sudameris | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco,Banco GNB Sudameris,baseline_tasa_actual,2026-02,2026-05,18.455,17.729,2.0,baseline_tasa_actual,17.729,17.729
Banco Mundo Mujer,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Banco Mundo Mujer | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Banco Mundo Mujer | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,baseline_tasa_actual,2026-02,2026-05,24.99833333333333,24.99833333333333,18.0,baseline_tasa_actual,23.45611572265625,24.99833333333333
Banco Mundo Mujer,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Banco Mundo Mujer | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Banco Mundo Mujer | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,baseline_tasa_actual,2026-02,2026-05,25.12931781701445,25.12931781701445,1246.0,baseline_tasa_actual,23.525972366333008,25.12931781701445
Banco Mundo Mujer,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco Mundo Mujer | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Banco Mundo Mujer | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,baseline_tasa_actual,2026-02,2026-05,25.07420718816068,25.07420718816068,473.0,baseline_tasa_actual,23.525972366333008,25.07420718816068
Banco Mundo Mujer,1,Menor o igual a 3 SMLMV,Banco Mundo Mujer | Menor o igual a 3 SMLMV,banco_rango,Banco Mundo Mujer | Menor o igual a 3 SMLMV,baseline_tasa_actual,2026-02,2026-05,25.14386580846499,25.14386580846499,5127.0,baseline_tasa_actual,23.525972366333008,25.14386580846499
Banco Popular,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco Popular | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Banco Popular | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,baseline_tasa_actual,2026-02,2026-05,25.1,25.1,1.0,baseline_tasa_actual,21.949892044067383,25.1
Banco Popular,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco Popular | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Banco Popular | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,baseline_tasa_actual,2026-02,2026-05,24.65,24.65,2.0,baseline_tasa_actual,22.66985893249512,24.65
Banco Popular,1,Menor o igual a 3 SMLMV,Banco Popular | Menor o igual a 3 SMLMV,banco,Banco Popular,baseline_tasa_actual,2026-02,2026-05,24.97,24.8425,1.0,baseline_tasa_actual,24.8425,24.8425
Banco Santander,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco Santander | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,rango,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,baseline_tasa_actual,2026-02,2026-05,5.0,20.332931313921645,1.0,baseline_tasa_actual,20.332931313921645,20.332931313921645
Banco Serfinanza,6,Mayor a 100 SMLMV,Banco Serfinanza | Mayor a 100 SMLMV,banco,Banco Serfinanza,baseline_tasa_actual,2026-02,2026-05,15.212,19.02458923512748,5.0,baseline_tasa_actual,19.02458923512748,19.02458923512748
Banco Serfinanza,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Banco Serfinanza | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Banco Serfinanza | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,baseline_tasa_actual,2026-02,2026-05,18.06,18.06,61.0,baseline_tasa_actual,18.183752059936523,18.06
Banco Serfinanza,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco Serfinanza | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Banco Serfinanza | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,baseline_tasa_actual,2026-02,2026-05,14.415909090909093,14.415909090909093,22.0,baseline_tasa_actual,16.574554443359375,14.415909090909093
Banco Serfinanza,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Banco Serfinanza | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Banco Serfinanza | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,baseline_tasa_actual,2026-02,2026-05,19.79614583333333,19.79614583333333,96.0,baseline_tasa_actual,19.177675247192383,19.79614583333333
Banco Serfinanza,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco Serfinanza | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Banco Serfinanza | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,baseline_tasa_actual,2026-02,2026-05,18.939411764705884,18.939411764705884,68.0,baseline_tasa_actual,18.466598510742188,18.939411764705884
Banco Serfinanza,1,Menor o igual a 3 SMLMV,Banco Serfinanza | Menor o igual a 3 SMLMV,banco_rango,Banco Serfinanza | Menor o igual a 3 SMLMV,baseline_tasa_actual,2026-02,2026-05,20.123762376237625,20.123762376237625,101.0,baseline_tasa_actual,19.43036842346192,20.123762376237625
Banco Unión,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Banco Unión | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco,Banco Unión,baseline_tasa_actual,2026-02,2026-05,25.19,25.19,2.0,baseline_tasa_actual,25.19,25.19
Banco Unión,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco Unión | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco,Banco Unión,baseline_tasa_actual,2026-02,2026-05,25.19,25.19,3.0,baseline_tasa_actual,25.19,25.19
