number,value,params_alpha,user_attrs_mae_valid,user_attrs_rmse_valid,user_attrs_smape_valid,state,nivel,familia,params_l1_ratio,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_l2_regularization,params_learning_rate,params_max_iter,params_max_leaf_nodes,params_colsample_bytree,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample
24,0.7421695241053428,0.19474890515443438,1.3851450363723343,1.816306474201842,7.573406750751925,COMPLETE,banco_rango,elasticnet,0.7898302795545006,,,,,,,,,,,,,,
25,0.043342836829689535,2.28305042846392,2.5614439231603203,3.4986473519009325,13.26886034132463,COMPLETE,banco_rango,elasticnet,0.7501556029747337,,,,,,,,,,,,,,
26,0.6582176332752157,0.0556982478198321,1.7055026635307655,2.0912060769055847,9.138878770610555,COMPLETE,banco_rango,elasticnet,0.8249478886581657,,,,,,,,,,,,,,
27,0.7521627880763305,0.2761515974037503,1.3320572217270876,1.7807594728185971,7.320178715039857,COMPLETE,banco_rango,elasticnet,0.711372747465416,,,,,,,,,,,,,,
28,0.7026938657489594,0.10315550205989327,1.544083563210056,1.9504011344089884,8.332829486035006,COMPLETE,banco_rango,elasticnet,0.8402600473841814,,,,,,,,,,,,,,
29,0.62403456002984,0.005624635486389264,1.8177419765063585,2.1932895445371647,9.73718006829029,COMPLETE,banco_rango,elasticnet,0.9477926967277843,,,,,,,,,,,,,,
30,-1.2735725494096992,4.4048542855550465,4.158087517237588,5.393571177770473,19.68506651080257,COMPLETE,banco_rango,elasticnet,0.8603501396805833,,,,,,,,,,,,,,
31,0.7572237397339491,0.4465727115046801,1.2748501468475746,1.7624837215358868,7.093034547175872,COMPLETE,banco_rango,elasticnet,0.616586340996607,,,,,,,,,,,,,,
32,0.6872241697104173,1.046672083548534,1.3350689544002905,2.000500197963451,7.6195024058182685,COMPLETE,banco_rango,elasticnet,0.6431257443280766,,,,,,,,,,,,,,
33,0.7610720797709069,0.34288494683457116,1.2799760013526085,1.7484590175250976,7.0872114364381495,COMPLETE,banco_rango,elasticnet,0.7386324297735314,,,,,,,,,,,,,,
34,0.6797207729321311,0.0891474572640944,1.6294006317396792,2.024353681183331,8.751707987620891,COMPLETE,banco_rango,elasticnet,0.7477700976978026,,,,,,,,,,,,,,
35,0.6230021956500438,0.032957300904203186,1.816501295679179,2.196298759642335,9.737744478438861,COMPLETE,banco_rango,elasticnet,0.8800313638981144,,,,,,,,,,,,,,
