banco,rango_orden,rango_monto,serie_banco_rango,nivel_usado,serie_usada,modelo_usado,mes_base,mes_predicho,tasa_base,prediccion_tasa_t3,total_creditos_base
Bancolombia,1,Menor o igual a 3 SMLMV,Bancolombia | Menor o igual a 3 SMLMV,banco_rango,Bancolombia | Menor o igual a 3 SMLMV,xgboost,2026-02,2026-05,23.69479434886636,22.266510009765625,8777.0
Bancoomeva,6,Mayor a 100 SMLMV,Bancoomeva | Mayor a 100 SMLMV,banco_rango,Bancoomeva | Mayor a 100 SMLMV,xgboost,2026-02,2026-05,16.96688888888889,16.65436553955078,45.0
Bancoomeva,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Bancoomeva | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Bancoomeva | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,xgboost,2026-02,2026-05,19.53760975609756,19.01641845703125,205.0
Bancoomeva,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Bancoomeva | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Bancoomeva | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,xgboost,2026-02,2026-05,18.95697802197802,17.931262969970703,364.0
Bancoomeva,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Bancoomeva | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Bancoomeva | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,xgboost,2026-02,2026-05,20.699102564102564,20.165058135986328,78.0
Bancoomeva,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Bancoomeva | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Bancoomeva | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,xgboost,2026-02,2026-05,20.120898876404496,19.74322891235352,178.0
Bancoomeva,1,Menor o igual a 3 SMLMV,Bancoomeva | Menor o igual a 3 SMLMV,banco_rango,Bancoomeva | Menor o igual a 3 SMLMV,xgboost,2026-02,2026-05,20.884651162790696,20.22304344177246,43.0
Coopcentral,6,Mayor a 100 SMLMV,Coopcentral | Mayor a 100 SMLMV,banco,Coopcentral,baseline_tasa_actual,2026-02,2026-05,14.0,18.07692307692308,1.0
Coopcentral,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Coopcentral | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco,Coopcentral,baseline_tasa_actual,2026-02,2026-05,17.75,18.07692307692308,4.0
Coopcentral,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Coopcentral | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Coopcentral | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,xgboost,2026-02,2026-05,13.0,16.110380172729492,2.0
Coopcentral,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Coopcentral | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco,Coopcentral,baseline_tasa_actual,2026-02,2026-05,20.25,18.07692307692308,4.0
Coopcentral,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Coopcentral | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco,Coopcentral,baseline_tasa_actual,2026-02,2026-05,21.5,18.07692307692308,2.0
Finandina,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Finandina | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Finandina | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,xgboost,2026-02,2026-05,23.773030303030303,21.87856674194336,165.0
Finandina,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Finandina | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Finandina | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,xgboost,2026-02,2026-05,23.248125,21.282981872558597,48.0
Finandina,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Finandina | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Finandina | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,xgboost,2026-02,2026-05,24.62685185185185,22.738073348999023,54.0
Finandina,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Finandina | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Finandina | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,xgboost,2026-02,2026-05,24.03333333333333,22.442790985107425,108.0
